N E X T F L O W  ~  version 21.10.6
Launching `./wes.nf` [scruffy_northcutt] - revision: 42b5734271

STARTING PIPELINE
=*=*=*=*=*=*=*=*=
Sample list: /home/diagnostics/pipelines/WholeExomePipeline/sample_list.csv
BED file: /home/pipelines/mutation_detector_nextflow/bedfile/Leukemia_Panel_Myeloid_2023_Feb_hg37_sortd.bed
Sequences in:/home/diagnostics/pipelines/WholeExomePipeline/sequences

[e5/f19952] Cached process > WES:BaseRecalibrator (1)
[81/5cd0ae] Cached process > WES:BaseRecalibrator (10)
[57/c49eeb] Cached process > WES:BaseRecalibrator (4)
[e2/198b19] Cached process > WES:BaseRecalibrator (5)
[05/bac4c7] Cached process > WES:BaseRecalibrator (2)
[ff/cbe6ba] Cached process > WES:BaseRecalibrator (14)
[1a/3fa834] Cached process > WES:BaseRecalibrator (12)
[4e/4e107c] Cached process > WES:BaseRecalibrator (3)
[06/52a667] Cached process > WES:BaseRecalibrator (13)
[8d/25b447] Cached process > WES:PrintReads (11)
[41/395091] Cached process > WES:PrintReads (2)
[5f/ab8d01] Cached process > WES:PrintReads (3)
[1e/c26ed6] Cached process > WES:PrintReads (12)
[83/237732] Cached process > WES:PrintReads (7)
[06/9185c8] Cached process > WES:PrintReads (5)
[27/985ba3] Cached process > WES:PrintReads (13)
[65/0efcbc] Cached process > WES:PrintReads (14)
[09/d26a50] Cached process > WES:PrintReads (4)
[60/f71254] Cached process > WES:PrintReads (8)
[7f/1a22bc] Cached process > WES:PrintReads (9)
[2c/912b74] Cached process > WES:PrintReads (10)
[f4/9b95ab] Cached process > WES:PrintReads (6)
[44/daaef7] Cached process > WES:PrintReads (1)
[29/8d8bb0] Cached process > WES:generatefinalbam (11)
[ed/6797ed] Cached process > WES:generatefinalbam (4)
[d2/f4f9cb] Cached process > WES:generatefinalbam (14)
[d5/791589] Cached process > WES:generatefinalbam (1)
[07/e8959a] Cached process > WES:generatefinalbam (3)
[5c/07aa7a] Cached process > WES:generatefinalbam (6)
[f0/48ef76] Cached process > WES:generatefinalbam (8)
[ff/011245] Cached process > WES:generatefinalbam (12)
[25/c9f401] Cached process > WES:generatefinalbam (7)
[83/45810c] Cached process > WES:generatefinalbam (2)
[ed/cce3fb] Cached process > WES:generatefinalbam (5)
[1c/75e5ff] Cached process > WES:generatefinalbam (13)
[ad/c00670] Cached process > WES:generatefinalbam (10)
[cd/94a5fc] Cached process > WES:generatefinalbam (9)
[11/9258b4] Cached process > WES:strelka (6)
[19/c132e4] Cached process > WES:strelka (11)
[37/759358] Cached process > WES:strelka (3)
[9a/defc4e] Cached process > WES:strelka (1)
[9f/7f3350] Cached process > WES:strelka (8)
[05/6ffcd2] Cached process > WES:strelka (2)
[4e/f9d145] Cached process > WES:strelka (4)
[4f/2c717a] Cached process > WES:strelka (9)
[e6/3166da] Cached process > WES:strelka (10)
[75/64c078] Cached process > WES:strelka (7)
[5b/0652b2] Cached process > WES:strelka (13)
[39/3f3f93] Cached process > WES:strelka (5)
[4f/d1c3e5] Cached process > WES:strelka (12)
[a7/b56164] Cached process > WES:strelka (14)
[93/f5ea9d] Cached process > WES:platypus (1)
[79/f07de1] Cached process > WES:platypus (5)
[eb/5971f5] Cached process > WES:platypus (9)
[d3/80ad80] Cached process > WES:platypus (2)
[df/b8cefc] Cached process > WES:platypus (7)
[74/46e269] Cached process > WES:platypus (4)
[f4/825155] Cached process > WES:platypus (14)
[99/e4e1fd] Cached process > WES:platypus (8)
[61/6760dd] Cached process > WES:platypus (13)
[7a/9e2eda] Cached process > WES:platypus (11)
[d4/15d1ac] Cached process > WES:platypus (6)
[6e/3c881c] Cached process > WES:platypus (3)
[65/d43ade] Cached process > WES:platypus (10)
[bf/18a8ce] Cached process > WES:freebayes (4)
[47/44e266] Cached process > WES:freebayes (2)
[47/a716c2] Cached process > WES:freebayes (8)
[bf/78e844] Cached process > WES:freebayes (3)
[c4/51a465] Cached process > WES:platypus (12)
[aa/146150] Cached process > WES:freebayes (5)
[3b/ff3cbb] Cached process > WES:freebayes (7)
[0b/c47468] Cached process > WES:freebayes (6)
[f7/0fcb94] Cached process > WES:freebayes (10)
[ab/528935] Cached process > WES:freebayes (9)
[5e/076235] Cached process > WES:freebayes (11)
[7b/00958b] Cached process > WES:freebayes (1)
[a5/4ec495] Cached process > WES:freebayes (12)
[92/ce82a1] Cached process > WES:freebayes (13)
[a9/335f0d] Cached process > WES:freebayes (14)
[22/d488fe] Cached process > WES:coverage_mosdepth (8)
[96/cb5589] Cached process > WES:coverage_mosdepth (4)
[ce/ae2690] Cached process > WES:coverage_mosdepth (10)
[2c/921f9e] Cached process > WES:coverage_mosdepth (3)
[91/ffa4e4] Cached process > WES:coverage_mosdepth (7)
[72/a00353] Cached process > WES:coverage_mosdepth (5)
[84/dde674] Cached process > WES:coverage_mosdepth (2)
[50/738666] Cached process > WES:coverage_mosdepth (6)
[48/531c2c] Cached process > WES:coverage_mosdepth (12)
